route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
0,1,510924026,Union Station,,8,1316568,,
0,1,510924191,Englewood,,7,1316572,,
0,3,510924192,Englewood,,8,1316572,,
0,2,510924193,Englewood,,9,1316572,,
0,2,510924328,Union Station,,8,1316568,,
0,1,510924343,Union Station,,6,1316568,,
0,3,510924344,Union Station,,6,1316568,,
0,1,510924510,Englewood,,4,1316572,,
0,2,510924511,Englewood,,4,1316572,,
0,3,510924512,Englewood,,4,1316572,,
0,2,510924662,Union Station,,2,1316568,,
0,1,510924682,Union Station,,2,1316568,,
0,3,510924683,Union Station,,2,1316568,,
0,1,510924838,Englewood,,1,1316572,,
0,2,510924839,Englewood,,5,1316572,,
0,3,510924840,Englewood,,7,1316572,,
0,2,510924981,Union Station,,7,1316568,,
0,1,510924994,Union Station,,9,1316568,,
0,3,510924995,Union Station,,9,1316568,,
0,2,510925147,Englewood,,1,1316572,,
0,3,510925148,Englewood,,1,1316572,,
0,1,510925149,Englewood,,5,1316572,,
0,2,510925286,Union Station,,9,1316568,,
0,1,510925304,Union Station,,7,1316568,,
0,3,510925305,Union Station,,8,1316568,,
0,1,510925466,Englewood,,3,1316572,,
0,3,510925467,Englewood,,5,1316572,,
0,2,510925468,Englewood,,6,1316572,,
0,2,510925608,Union Station,,4,1316568,,
0,1,510925623,Union Station,,4,1316568,,
0,3,510925624,Union Station,,4,1316568,,
0,1,510925752,Englewood,,8,1316572,,
0,2,510925793,Englewood,,3,1316572,,
0,3,510925794,Englewood,,3,1316572,,
0,2,510925941,Union Station,,5,1316568,,
0,1,510925956,Union Station,,1,1316568,,
0,3,510925957,Union Station,,7,1316568,,
0,1,510926121,Englewood,,6,1316572,,
0,2,510926122,Englewood,,8,1316572,,
0,3,510926139,Englewood,,6,1316572,,
0,2,510926266,Union Station,,1,1316568,,
0,3,510926283,Union Station,,1,1316568,,
0,1,510926284,Union Station,,5,1316568,,
0,1,510926438,Englewood,,2,1316572,,
